Sample,Time_Hours
APP19_6am_Female_batch1,6
APP50_6am_Male_batch2,6
APP20_8am_Female_batch1,8
APP176_8am_Male_batch3,8
APP24_10am_Male_batch1,10
APP35_10am_Female_batch2,10
APP1_12pm_Female_batch1,12
APP39_12pm_Male_batch2,12
APP15_12am_Female_batch1,0
APP2_2pm_Female_batch1,14
APP41_2pm_Male_batch2,14
APP10_4pm_Male_batch1,16
APP59_4pm_Female_batch2,16
APP11_6pm_Male_batch1,18
APP60_6pm_Female_batch2,18
APP12_8pm_Female_batch1,20
APP45_8pm_Male_batch2,20
APP13_10pm_Male_batch1,22
APP64_10pm_Female_batch2,22
APP46_12am_Male_batch2,0
APP16_2am_Male_batch1,2
APP66_2am_Female_batch2,2
APP18_4am_Female_batch1,4
APP170_4am_Male_batch3,4
