Gene_Symbol,WT56_8am_Female_Aged,WT2_8am_Male_Aged,WT55_12pm_Female_Aged,WT5_12pm_Male_Aged,WT54_4pm_Female_Aged,WT6_4pm_Female_Aged,WT53_8pm_Male_Aged,WT51_12am_Male_Aged,WT42_12am_Female_Aged,WT49_4am_Female_Aged,WT43_4am_Female_Aged
0610005C13Rik,11.72,12.0,18.34,6.09,11.01,17.23,9.0,10.0,6.01,11.0,16.02
0610006L08Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610009B22Rik,1340.0,851.0,1210.0,1295.0,1174.58,1478.0,1298.0,1253.0,1335.0,1282.0,936.62
0610009E02Rik,227.36,147.78,155.41,120.54,155.44,151.51,149.85,150.43,122.42,169.51,93.54
0610009L18Rik,23.0,17.0,16.0,34.0,18.0,30.0,16.0,12.0,10.0,13.0,15.0
0610010F05Rik,492.0,661.0,416.0,492.0,621.0,436.0,496.0,410.0,389.0,463.0,300.0
0610010K14Rik,3216.3,1734.99,2554.17,3019.44,2294.51,2797.76,2660.08,2488.32,2700.62,2730.14,1821.0
0610012D04Rik,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610012G03Rik,211.0,226.0,176.0,284.0,196.0,228.0,158.0,163.0,207.0,182.0,106.0
0610025J13Rik,0.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0
0610030E20Rik,881.12,753.66,693.34,909.2,737.95,887.72,742.84,672.45,806.43,822.24,464.53
0610031O16Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610033M10Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0610038B21Rik,7.11,5.06,3.04,10.33,7.0,2.06,1.01,0.0,2.03,4.03,2.0
0610039K10Rik,4.03,8.08,1.01,9.12,2.02,17.22,4.04,2.01,12.16,7.1,8.17
0610040B10Rik,87.0,39.0,60.0,56.0,96.0,71.0,66.0,64.0,24.0,50.0,34.0
0610040F04Rik,23.0,27.0,20.0,23.05,26.04,13.1,25.0,20.0,16.0,11.0,11.03
0610040J01Rik,2373.0,2554.0,2739.0,3993.0,3065.0,4250.0,2838.0,2197.0,2651.0,3184.0,1409.0
0610043K17Rik,15.0,2.0,5.0,5.0,5.0,15.0,11.0,14.0,6.0,8.0,2.0
0710001A04Rik,3.0,5.0,1.0,1.0,3.0,2.0,7.0,1.0,2.0,2.0,0.0
1010001B22Rik,30.0,22.0,20.0,27.0,19.0,20.0,12.0,22.0,41.0,26.0,16.0
1100001I12Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110002E22Rik,21.0,16.34,21.0,52.84,30.0,18.42,22.0,32.0,31.0,23.0,20.0
1110002J07Rik,15.0,8.0,9.0,22.0,6.0,6.0,5.0,12.0,6.0,2.0,6.0
1110002L01Rik,438.18,216.11,286.48,302.78,267.95,420.24,363.11,529.01,330.53,341.59,318.7
1110002O04Rik,12.0,9.0,7.0,8.0,11.0,5.0,6.0,9.0,6.0,5.0,5.0
1110003F10Rik,47.0,31.0,55.0,35.0,60.0,32.0,43.0,35.0,33.0,37.0,22.0
1110004F10Rik,4350.0,3513.83,3737.88,4773.58,4070.77,4958.61,3835.37,3898.9,4056.86,4194.85,2778.94
1110006O24Rik,19.0,11.0,15.0,10.0,24.0,19.0,16.0,17.0,11.0,7.0,3.0
1110008E08Rik,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110008P14Rik,572.99,503.61,610.87,482.17,732.7,608.33,508.33,399.43,473.56,586.59,304.27
1110012L19Rik,439.0,304.0,343.0,404.0,358.0,502.0,358.0,394.0,426.0,460.0,227.0
1110013H19Rik,20.0,20.0,12.0,18.0,15.0,15.0,23.0,16.0,20.0,14.0,4.0
1110015O18Rik,0.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
1110017D15Rik,23.0,19.0,27.0,17.0,21.0,7.0,16.0,18.0,20.0,25.0,11.0
1110018N20Rik,79.0,85.99,60.0,63.0,77.0,33.0,60.0,57.0,35.99,46.0,36.0
