Sample,Time_Hours
WT55_6am_Male_batch1,6
WT175_6am_Female_batch2,6
WT6_8am_Male_batch1,8
WT176_8am_Female_batch2,8
WT7_10am_Male_batch1,10
WT131_10am_Female_batch2,10
WT8_12pm_Male_batch1,12
WT132_12pm_Female_batch2,12
WT10_2pm_Male_batch1,14
WT147_2pm_Female_batch2,14
WT16_4pm_Male_batch1,16
WT148_4pm_Female_batch2,16
WT20_6pm_Male_batch1,18
WT24_8pm_Male_batch1,20
WT153_8pm_Female_batch2,20
WT30_10pm_Male_batch1,22
WT168_10pm_Female_batch2,22
WT32_12am_Male_batch1,0
WT178_12am_Female_batch2,0
WT37_2am_Male_batch1,2
WT174_2am_Female_batch2,2
WT47_4am_Female_batch1,4
WT129_4am_Male_batch2,4
