Sample,Time_Hours
WT28_6am_Female_batch1,6
WT72_6am_Male_batch2,6
WT29_8am_Female_batch1,8
WT80_8am_Male_batch2,8
WT40_10am_Female_batch1,10
WT76_10am_Male_batch2,10
WT3_12pm_Female_batch1,12
WT265_12pm_Female_batch3,12
WT5_2pm_Male_batch1,14
WT194_2pm_Male_batch3,14
WT6_4pm_Male_batch1,16
WT260_4pm_Female_batch3,16
WT7_6pm_Male_batch1,18
WT8_8pm_Male_batch1,20
WT262_8pm_Female_batch3,20
WT74_10pm_Female_batch2,22
WT14_12am_Male_batch1,0
WT8_12am_Female_batch2,0
WT25_2am_Female_batch1,2
WT15_2am_Male_batch2,2
WT26_4am_Male_batch1,4
WT18_4am_Female_batch2,4
