MetricName,Eigengene1,Eigengene2,Eigengene3
Phase,0.2768959,0.09058648,0.5455539
Error,-0.45754388,-0.113151625,-0.51549584
Magnitude,-0.037025094,-0.023215482,-0.25443843
ProjectionX,0.082507804,0.98624986,0.14319108
ProjectionY,-0.55297965,-0.0044505396,-0.83318275
Circular_Error,0.025400553,-0.03553981,-0.38458806
Modified_Error,-0.0072794138,-0.12954201,-0.37957656
Out_of_Plane_Reconstruction_Error,0.021266485,-0.11603125,-0.39642262
Input_Magnitude,-0.26831943,0.042823184,-0.34739298
Model_Output_Magnitude,0.35912758,0.34789166,0.35379714
Modified_Model_Output_Magnitude,-0.004751003,-0.068112105,-0.24175815
