MetricName,Eigengene1,Eigengene2,Eigengene3,Eigengene4,Eigengene5
Phase,-0.23229536,-0.580894,-0.27472022,-0.2950312,0.28198603
Error,-0.17556734,0.21498904,0.32556936,0.3493272,-0.027753694
Magnitude,0.11700772,-0.054786105,0.11669075,0.08152549,-0.41063446
ProjectionX,0.08653595,-0.29422754,-0.647899,0.46100214,-0.52311164
ProjectionY,0.16540945,0.75439745,0.478195,0.31037924,-0.28021127
Circular_Error,0.028108137,0.010282237,0.065384924,0.12461127,-0.39150968
Modified_Error,-0.0038905137,0.0016306891,0.2735144,0.47117773,-0.47461203
Out_of_Plane_Reconstruction_Error,0.088421255,-0.018691367,-0.069840476,0.20153295,-0.46156517
Input_Magnitude,-0.20679232,0.004565129,0.28982472,-0.058955837,0.14434314
Model_Output_Magnitude,-0.07618164,-0.5843469,-0.048289698,-0.56764275,0.38806787
Modified_Model_Output_Magnitude,0.09904713,-0.3441503,-0.0065085227,-0.105031155,-0.2558406
