MetricName,Eigengene1,Eigengene2,Eigengene3,Eigengene4,Eigengene5
Phase,0.5606012,0.34202844,-0.1518244,0.47961637,-0.19592567
Error,-0.6126027,0.11191485,-0.43445182,-0.03316336,-0.14122857
Magnitude,-0.058048602,-0.27350196,0.2905744,-0.2534801,-0.15850888
ProjectionX,-0.33870295,-0.47867993,-0.37661782,0.04206824,-0.7159156
ProjectionY,-0.82788205,-0.21747637,-0.173282,-0.31180394,0.37425524
Circular_Error,-0.13355963,-0.24835274,0.2100911,-0.426931,-0.3128972
Modified_Error,-0.6270658,0.09325824,-0.43801558,-0.037392683,-0.15610117
Out_of_Plane_Reconstruction_Error,-0.12177073,-0.23029815,0.18552291,-0.4115887,-0.2792044
Input_Magnitude,-0.74846894,-0.025391094,-0.20508367,-0.13524242,0.005475538
Model_Output_Magnitude,-0.50961244,0.14709398,-0.113355786,-0.18749289,0.60968804
Modified_Model_Output_Magnitude,-0.30459535,-0.19565646,0.23720753,-0.28020135,0.13839886
