MetricName,Eigengene1,Eigengene2,Eigengene3,Eigengene4,Eigengene5
Phase,0.5235931,-0.32786742,0.40414768,0.4416556,0.076543175
Error,-0.54561186,0.6493578,-0.04042019,0.24860658,-0.20480902
Magnitude,0.29082987,-0.3236488,0.4280119,0.050628453,0.60692084
ProjectionX,-0.6676601,-0.599215,-0.1017135,0.25917506,-0.34300742
ProjectionY,-0.58114856,-0.38858262,-0.22018036,-0.64271986,0.22293824
Circular_Error,0.43329737,-0.093532786,0.26977322,0.16692387,0.534503
Modified_Error,0.22381645,-0.09512927,0.18918733,-0.0423051,0.6626403
Out_of_Plane_Reconstruction_Error,0.2664819,-0.18456456,0.16239014,-0.030281493,0.59745
Input_Magnitude,0.036728542,0.56496644,0.14923546,0.6126145,-0.011263607
Model_Output_Magnitude,0.7555795,0.15378202,0.33593783,0.44272745,0.17616972
Modified_Model_Output_Magnitude,0.29338866,-0.30578354,0.32521814,-0.0156049,0.6369743
