MetricName,Eigengene1,Eigengene2,Eigengene3,Eigengene4
Phase,0.29955894,-0.43172196,-0.10444523,-0.7105762
Error,0.747956,-0.32602382,-0.06246937,-0.025584444
Magnitude,-0.3651708,0.5235366,-0.10255368,-0.4828171
ProjectionX,-0.2567923,-0.49677956,0.5987997,0.5733293
ProjectionY,-0.07422511,0.65209734,0.08679445,0.749484
Circular_Error,-0.17347464,0.56413645,-0.3149317,-0.49597988
Modified_Error,-0.08222933,0.42288935,-0.49171218,-0.4846518
Out_of_Plane_Reconstruction_Error,-0.1671373,0.47097114,-0.46883264,-0.4343298
Input_Magnitude,0.3420457,0.26879337,-0.55478626,-0.36321416
Model_Output_Magnitude,0.015685117,0.6970937,-0.5577257,-0.38201898
Modified_Model_Output_Magnitude,-0.32156533,0.49275646,-0.33186805,-0.4550084
